domain,predictor,bootstrap_mean,bootstrap_se,bootstrap_ci_lower,bootstrap_ci_upper,model_beta,model_se
What,intercept,-0.009850909719725302,0.05466964530968989,-0.11798492337917958,0.09833616124755212,-0.0072221286636249896,0.056106456873753256
What,RAVLT_T,0.0934426637463117,0.06961106754610549,-0.038711932867032416,0.22682205980317777,0.0952522640854891,0.060223278159079054
What,BVMT_T,0.1089053191966451,0.06921421601636904,-0.01912978036404797,0.25396024107894033,0.10545545943528334,0.06613829723078218
What,RPM_T,0.206790446823827,0.07016759105872519,0.08417048808859297,0.346814684148129,0.20397032249168517,0.06499636945038573
Where,intercept,0.03356601852295447,0.05817756971912342,-0.07797892335595924,0.14429345852677064,0.036789546436750004,0.05958300605407602
Where,RAVLT_T,0.07424145956995616,0.06900250589488277,-0.059382123561149566,0.2104556224046474,0.07695978537413568,0.06395491975589924
Where,BVMT_T,0.0956266666812553,0.07181018308343498,-0.04394912215249669,0.24379526854284525,0.09313337502635552,0.07023645376814826
Where,RPM_T,0.23689546527507244,0.07736328012203121,0.0990022493976215,0.3910478630541922,0.2326521538133111,0.06902376821208511
When,intercept,0.10761280120628683,0.02714331626489326,0.050462390526283124,0.16194029984717676,0.10869476563825002,0.02739237135404341
When,RAVLT_T,0.03093937340816919,0.027816802725427116,-0.02240477786258228,0.08600940500150672,0.029558470893926683,0.029402291490323276
When,BVMT_T,0.031101891804924155,0.030821528731829556,-0.027415030320487983,0.09332541150709082,0.031151488515418532,0.03229013021703029
When,RPM_T,0.04795663177720627,0.027984433867502483,-0.00559437719358642,0.10302372537681999,0.04753663874783753,0.031732616669338215
