Variable1,Variable2,r,ci_lower,ci_upper,p_uncorrected,p_bonferroni,p_fdr
Age,theta_all,-0.19328923000638867,-0.3748149136879093,-0.01532901966651244,0.054004170721372896,0.5400417072137289,0.054004170721372896
Age,RAVLT_T,-0.2869600259565523,-0.4481423092869995,-0.10263162714818386,0.0037956592330279895,0.0379565923302799,0.005042961762230646
Age,BVMT_T,-0.5454815482953167,-0.6648713351476654,-0.40789600584595737,4.3941197761427484e-09,4.3941197761427486e-08,4.394119776142748e-08
Age,RPM_T,-0.293363950323408,-0.46161655938481655,-0.12081319332352522,0.0030542580061364093,0.030542580061364094,0.005042961762230646
theta_all,RAVLT_T,0.2663741251832889,0.09671696170386335,0.45762876159302895,0.0073878939864129535,0.07387893986412954,0.008208771096014393
theta_all,BVMT_T,0.36353804043827964,0.19079045441040116,0.5215143502086589,0.00020103021466954962,0.0020103021466954963,0.0005025755366738741
theta_all,RPM_T,0.4569094103691043,0.28927117266053404,0.6095162826872305,1.766724844573676e-06,1.766724844573676e-05,5.889082815245587e-06
RAVLT_T,BVMT_T,0.33578702846470493,0.17437620800854864,0.5027642054277361,0.0006369211663033814,0.006369211663033813,0.0012738423326067627
RAVLT_T,RPM_T,0.2851364447897657,0.10816844624559792,0.4578522009748772,0.004034369409784517,0.040343694097845176,0.005042961762230646
BVMT_T,RPM_T,0.48813967917454876,0.36498653467822395,0.6028610444373725,2.5804911595471283e-07,2.580491159547128e-06,1.290245579773564e-06
