Variable1,Variable2,correlation,p_value,significance_flag
Age,Age,1.0,0.05,strong
Age,theta_all,-0.1932892300063887,0.1,weak
Age,RAVLT_T,-0.28696002595655173,0.05,weak
Age,BVMT_T,-0.5454815482953167,0.05,moderate
Age,RPM_T,-0.29336395032340845,0.05,weak
theta_all,Age,-0.1932892300063887,0.1,weak
theta_all,theta_all,1.0,0.05,strong
theta_all,RAVLT_T,0.26637412518328885,0.05,weak
theta_all,BVMT_T,0.36353804043827953,0.05,moderate
theta_all,RPM_T,0.45690941036910415,0.05,moderate
RAVLT_T,Age,-0.28696002595655173,0.05,weak
RAVLT_T,theta_all,0.26637412518328885,0.05,weak
RAVLT_T,RAVLT_T,1.0,0.05,strong
RAVLT_T,BVMT_T,0.33578702846470465,0.05,moderate
RAVLT_T,RPM_T,0.2851364447897657,0.05,weak
BVMT_T,Age,-0.5454815482953167,0.05,moderate
BVMT_T,theta_all,0.36353804043827953,0.05,moderate
BVMT_T,RAVLT_T,0.33578702846470465,0.05,moderate
BVMT_T,BVMT_T,1.0,0.05,strong
BVMT_T,RPM_T,0.4881396791745487,0.05,moderate
RPM_T,Age,-0.29336395032340845,0.05,weak
RPM_T,theta_all,0.45690941036910415,0.05,moderate
RPM_T,RAVLT_T,0.2851364447897657,0.05,weak
RPM_T,BVMT_T,0.4881396791745487,0.05,moderate
RPM_T,RPM_T,1.0,0.05,strong
