model,fold,train_r2,test_r2,rmse,mae
Model_1_Age_Only,1,-0.08600852355755566,0.0495747438116788,0.6742592222043534,0.5379300418352367
Model_1_Age_Only,2,-0.07438639870725527,0.08643948511964136,0.6742592222043534,0.5379300418352367
Model_1_Age_Only,3,-0.07621054631086267,-0.08195340854391492,0.6742592222043534,0.5379300418352367
Model_1_Age_Only,4,-0.06687918694991773,0.031010587859341854,0.6742592222043534,0.5379300418352367
Model_1_Age_Only,5,-0.07008768280494353,-0.16858105877129825,0.6742592222043534,0.5379300418352367
Model_2_Age_Plus_Cognitive,1,0.04734114182291044,0.009191956138805826,0.6324370242376209,0.5119830137130313
Model_2_Age_Plus_Cognitive,2,0.008266469085723895,-0.015104044911994324,0.6324370242376209,0.5119830137130313
Model_2_Age_Plus_Cognitive,3,-0.01166201754369093,0.016997617093563094,0.6324370242376209,0.5119830137130313
Model_2_Age_Plus_Cognitive,4,0.022042096026916647,-0.1541647561969946,0.6324370242376209,0.5119830137130313
Model_2_Age_Plus_Cognitive,5,0.05977964533921172,0.11708166319059278,0.6324370242376209,0.5119830137130313
