UID,theta_all,theta_what,beta_age_bivariate_all,beta_age_controlled_all,beta_age_bivariate_what,beta_age_controlled_what
A010,0.97076143875,0.7559712975,-0.1302,0.0258,-0.1302,0.0258
A011,0.07180207999999996,0.197499705,-0.1302,0.0258,-0.1302,0.0258
A012,0.3549183125,0.28557254750000005,-0.1302,0.0258,-0.1302,0.0258
A013,-0.16506315,-0.0996692035,-0.1302,0.0258,-0.1302,0.0258
A014,0.6169010075,0.74598967,-0.1302,0.0258,-0.1302,0.0258
A015,1.559498015,1.47161414,-0.1302,0.0258,-0.1302,0.0258
A016,0.11325782150000002,-0.09337775749999999,-0.1302,0.0258,-0.1302,0.0258
A017,0.3353329775,0.3815285075,-0.1302,0.0258,-0.1302,0.0258
A018,-0.10452744725000002,-0.195357355,-0.1302,0.0258,-0.1302,0.0258
A019,-1.13018943,-0.8542806195000001,-0.1302,0.0258,-0.1302,0.0258
A020,-0.91300866125,-0.8206314575,-0.1302,0.0258,-0.1302,0.0258
A021,0.79059709,0.7504667199999999,-0.1302,0.0258,-0.1302,0.0258
A022,0.1149351101,0.007409930000000002,-0.1302,0.0258,-0.1302,0.0258
A023,0.13347564975,0.09103290249999998,-0.1302,0.0258,-0.1302,0.0258
A024,-0.04513158249999999,-0.03312249874999999,-0.1302,0.0258,-0.1302,0.0258
A025,0.346842675,0.189649375,-0.1302,0.0258,-0.1302,0.0258
A026,0.406870533,0.2961444006625,-0.1302,0.0258,-0.1302,0.0258
A027,-0.05787567499999999,-0.12884181,-0.1302,0.0258,-0.1302,0.0258
A028,0.12858346,0.22139514999999999,-0.1302,0.0258,-0.1302,0.0258
A029,1.023111325,0.9213593250000001,-0.1302,0.0258,-0.1302,0.0258
A030,0.435349075,0.24558417847500003,-0.1302,0.0258,-0.1302,0.0258
A031,0.4143596645,0.37680075249999995,-0.1302,0.0258,-0.1302,0.0258
A032,0.7238456824999999,0.758142725,-0.1302,0.0258,-0.1302,0.0258
A033,0.375180925,0.37015001,-0.1302,0.0258,-0.1302,0.0258
A034,0.609261065,0.48516567,-0.1302,0.0258,-0.1302,0.0258
A035,-0.20200146749999998,-0.10476066425,-0.1302,0.0258,-0.1302,0.0258
A036,-0.05789503249999997,0.017222680500000004,-0.1302,0.0258,-0.1302,0.0258
A037,0.6399919475,0.585846746,-0.1302,0.0258,-0.1302,0.0258
A038,0.496686178,0.4923451795,-0.1302,0.0258,-0.1302,0.0258
A039,1.19202671,1.0299392925,-0.1302,0.0258,-0.1302,0.0258
A040,-0.9150132424999999,-0.899793683,-0.1302,0.0258,-0.1302,0.0258
A041,0.109736675,0.08053174874999999,-0.1302,0.0258,-0.1302,0.0258
A042,-0.8263051475000001,-0.576955077,-0.1302,0.0258,-0.1302,0.0258
A043,0.4509235725,0.39494527975,-0.1302,0.0258,-0.1302,0.0258
A044,-0.891856265,-0.7715998625,-0.1302,0.0258,-0.1302,0.0258
A045,-1.07199485,-0.9667633274999999,-0.1302,0.0258,-0.1302,0.0258
A046,-1.212762325,-1.11812449,-0.1302,0.0258,-0.1302,0.0258
A047,-1.026090325,-0.9367785799999999,-0.1302,0.0258,-0.1302,0.0258
A048,0.31380509999999995,0.312800065,-0.1302,0.0258,-0.1302,0.0258
A049,0.4953288965,0.40594605250000004,-0.1302,0.0258,-0.1302,0.0258
A050,-0.79420681,-0.8558748749999999,-0.1302,0.0258,-0.1302,0.0258
A051,-0.03917359749999999,-0.1630602875,-0.1302,0.0258,-0.1302,0.0258
A052,0.063437571,0.2576208125,-0.1302,0.0258,-0.1302,0.0258
A053,0.45830460749999996,0.368248605,-0.1302,0.0258,-0.1302,0.0258
A054,1.0196071075,0.8947861675,-0.1302,0.0258,-0.1302,0.0258
A055,0.10256029849999998,0.14997135325,-0.1302,0.0258,-0.1302,0.0258
A056,-0.07194886249999999,-0.08393786499999997,-0.1302,0.0258,-0.1302,0.0258
A057,-0.51205133,-0.3067310125,-0.1302,0.0258,-0.1302,0.0258
A058,-0.252483834,-0.2719533075,-0.1302,0.0258,-0.1302,0.0258
A059,0.98987943,1.0114442625,-0.1302,0.0258,-0.1302,0.0258
A060,0.235626169,0.34874225875,-0.1302,0.0258,-0.1302,0.0258
