test_name,age_c,age_group,test_slope,interaction_p
RAVLT,-15,Younger (-1SD),0.0136682209861437,1.0
RAVLT,0,Mean Age,0.0153578969793657,1.0
RAVLT,15,Older (+1SD),0.017047572972587702,1.0
BVMT,-15,Younger (-1SD),0.0390925325412184,0.635841059442791
BVMT,0,Mean Age,0.0295612288358479,0.635841059442791
BVMT,15,Older (+1SD),0.0200299251304774,0.635841059442791
NART,-15,Younger (-1SD),0.014075116165338799,1.0
NART,0,Mean Age,0.0107911075109543,1.0
NART,15,Older (+1SD),0.0075070988565698,1.0
RPM,-15,Younger (-1SD),0.0286798372292958,1.0
RPM,0,Mean Age,0.0295693301791063,1.0
RPM,15,Older (+1SD),0.0304588231289168,1.0
