fold,test_name,train_R2,test_R2,interaction_coef,interaction_p
1,RAVLT,0.09155881915507491,-0.1307018932953008,-1.6967142266372296e-05,0.973346927884997
2,RAVLT,0.07902371220204119,0.04395637524201157,0.00014931277630971508,0.7513780158216381
3,RAVLT,0.12109765648603776,-0.1823593771629215,0.00014517976765550432,0.7715240204943621
4,RAVLT,0.1119277383626569,-0.214164854071919,0.00017067435835244456,0.7190055114616851
5,RAVLT,0.0397060736083773,0.2462390465761769,-1.0447732017728365e-05,0.9861178307888183
1,BVMT,0.1450194317809098,-0.008177896876607305,-0.00045433238353440085,0.3972142272617608
2,BVMT,0.13551573090784297,0.12367821193862238,-0.0004675566229582728,0.29052521202844045
3,BVMT,0.2288493867618311,-0.3879209973062896,-0.0007586582686777805,0.14792673376896137
4,BVMT,0.11561617173454897,0.14075927229610397,-0.0009446355478500432,0.08381341658453183
5,BVMT,0.16143098222431884,0.04238203951103081,-0.0006669638124477017,0.1787441524766506
1,NART,0.06158272634603956,-0.12103939541694086,0.00011089678350097127,0.8297872262230829
2,NART,0.09127248684189537,-0.04301549888088929,-7.650727972819288e-05,0.8783259968191287
3,NART,0.09748096583998944,-0.3429081345847347,-0.0005454394901760024,0.35165374330183585
4,NART,0.04547716635239574,-0.34957627038360495,-0.0003218114312840437,0.5227136261947138
5,NART,0.04176279537900962,0.12317201511140874,-0.0002904234799161937,0.5740996112924736
1,RPM,0.29299139044066513,-0.503408442946164,-7.103460862504016e-05,0.8861852485095179
2,RPM,0.16299365060738968,0.22323802447591767,0.00043984685745369033,0.3934200903326722
3,RPM,0.2375129232375217,0.013350895384080963,-7.331097313734375e-05,0.8852754342401041
4,RPM,0.1720994938762046,0.29848185992450205,-0.00011754518233677251,0.8300146289474886
5,RPM,0.22637689369797054,0.10673349891728956,0.00011381076218512426,0.8339643661787599
