UID,theta_all,theta_all_z,RAVLT_Total,RAVLT_Total_z,Age
A010,0.97076143875,1.4249492714517151,51.0,-1.022091884454695,22.0
A011,0.0718020799999999,0.096942003898479,74.0,1.2274883397039629,21.0
A012,0.3549183125,0.5151816169162369,55.0,-0.6308605411227542,21.0
A013,-0.16506315,-0.2529723095895763,61.0,-0.0440135261248435,22.0
A014,0.6169010075,0.902201251949524,78.0,1.6187196830359034,22.0
A015,1.559498015,2.294673185357639,61.0,-0.0440135261248435,23.0
A016,0.1132578215,0.1581833998058092,64.0,0.2494099813741117,21.0
A017,0.3353329775,0.4862487547525559,50.0,-1.11989972028768,24.0
A018,-0.10452744725,-0.1635446258840225,75.0,1.325296175536948,23.0
A019,-1.13018943,-1.6787261008719894,64.0,0.2494099813741117,20.0
A020,-0.91300866125,-1.357891085956696,64.0,0.2494099813741117,26.0
A021,0.79059709,1.1587975681904183,78.0,1.6187196830359034,28.0
A022,0.1149351101,0.1606612108758018,59.0,-0.2396291977908138,28.0
A023,0.13347564975,0.1880506263815212,74.0,1.2274883397039629,26.0
A024,-0.0451315824999999,-0.0758007926585818,66.0,0.445025653040082,29.0
A025,0.346842675,0.5032517057520238,69.0,0.7384491605390374,26.0
A026,0.406870533,0.5919291647536192,52.0,-0.9242840486217097,29.0
A027,-0.0578756749999999,-0.0946272805232877,74.0,1.2274883397039629,28.0
A028,0.12858346,0.1808235326547445,63.0,0.1516021455411266,26.0
A029,1.023111325,1.5022842796686091,74.0,1.2274883397039629,25.0
A030,0.435349075,0.6339997104097747,55.0,-0.6308605411227542,31.0
A031,0.4143596645,0.6029926471712129,59.0,-0.2396291977908138,32.0
A032,0.7238456824999999,1.0601875994342442,70.0,0.8362569963720224,33.0
A033,0.375180925,0.5451150019994422,65.0,0.3472178172070969,32.0
A034,0.609261065,0.8909149807016261,77.0,1.5209118472029184,33.0
A035,-0.2020014674999999,-0.3075402426265033,63.0,0.1516021455411266,34.0
A036,-0.0578950324999999,-0.0946558768112416,61.0,-0.0440135261248435,30.0
A037,0.6399919475,0.9363128453560104,75.0,1.325296175536948,31.0
A038,0.496686178,0.7246112800673016,81.0,1.9121431905348587,32.0
A039,1.19202671,1.7518182065343022,68.0,0.6406413247060523,31.0
A040,-0.9150132425,-1.3608523972134168,43.0,-1.804554571118576,38.0
A041,0.109736675,0.1529817095440583,47.0,-1.4133232277866352,35.0
A042,-0.8263051475000001,-1.2298064342294948,65.0,0.3472178172070969,38.0
A043,0.4509235725,0.657007475629828,60.0,-0.1418213619578287,38.0
A044,-0.891856265,-1.3266432484735582,71.0,0.9340648322050076,38.0
A045,-1.07199485,-1.5927568916747352,46.0,-1.5111310636196205,37.0
A046,-1.212762325,-1.8007087061984286,58.0,-0.3374370336237989,38.0
A047,-1.026090325,-1.5249434335687468,42.0,-1.9023624069515608,36.0
A048,0.3138050999999999,0.454446229425105,59.0,-0.2396291977908138,38.0
A049,0.4953288965,0.722606206446819,52.0,-0.9242840486217097,35.0
A050,-0.79420681,-1.1823884669304512,53.0,-0.8264762127887245,41.0
A051,-0.0391735974999999,-0.066999229714763,56.0,-0.5330527052897692,41.0
A052,0.063437571,0.084585351027141,67.0,0.5428334888730671,43.0
A053,0.4583046074999999,0.6679112701414003,63.0,0.1516021455411266,44.0
A054,1.0196071075,1.4971075981403603,68.0,0.6406413247060523,43.0
A055,0.1025602984999999,0.1423802512534966,64.0,0.2494099813741117,44.0
A056,-0.0719488624999999,-0.1154172028882173,62.0,0.0537943097081415,42.0
A057,-0.51205133,-0.7655681464423292,64.0,0.2494099813741117,40.0
A058,-0.252483834,-0.3821164166690165,51.0,-1.022091884454695,42.0
A059,0.98987943,1.453191739894696,68.0,0.6406413247060523,43.0
A060,0.235626169,0.338954702998474,66.0,0.445025653040082,48.0
A061,0.86492765,1.2686040048446403,80.0,1.8143353547018737,47.0
A062,0.0901919849999999,0.1241088910907679,70.0,0.8362569963720224,48.0
A063,0.293277165,0.4241208909072804,74.0,1.2274883397039629,45.0
A064,0.3092835674999999,0.4477666971837059,66.0,0.445025653040082,47.0
A065,-1.953673875,-2.895236410300973,64.0,0.2494099813741117,47.0
A066,-0.5499262325000001,-0.8215196700438073,57.0,-0.435244869456784,47.0
A067,-0.82512955,-1.2280697572501391,73.0,1.1296805038709778,48.0
A068,0.373907925,0.5432344350581891,69.0,0.7384491605390374,49.0
A069,-1.1793972825,-1.751419471383816,65.0,0.3472178172070969,46.0
A070,-0.2106950642499999,-0.320383047535093,56.0,-0.5330527052897692,52.0
A071,0.1962569325,0.2807956419896193,69.0,0.7384491605390374,50.0
A072,0.0778722249999999,0.1059092576420865,67.0,0.5428334888730671,50.0
A073,0.3363469595,0.4877466817189547,65.0,0.3472178172070969,51.0
A074,-0.2549865725,-0.3858136415595908,74.0,1.2274883397039629,53.0
A075,-0.291115765,-0.4391862770895726,51.0,-1.022091884454695,53.0
A076,-1.220826245,-1.812621307430879,42.0,-1.9023624069515608,54.0
A077,0.4862645825,0.7092157514165466,38.0,-2.293593750283501,52.0
A078,-0.49878498,-0.7459701423252105,63.0,0.1516021455411266,50.0
A079,-0.4405461125,-0.6599355084552063,74.0,1.2274883397039629,50.0
A080,0.0535464749999999,0.0699735143025848,71.0,0.9340648322050076,56.0
A081,0.3615143925,0.5249258195791279,54.0,-0.7286683769557394,55.0
A082,0.4909304,0.7161084318127914,78.0,1.6187196830359034,58.0
A083,0.7502973374999999,1.09926388217928,68.0,0.6406413247060523,58.0
A084,-0.0109190895,-0.0252596431584636,49.0,-1.217707556120665,59.0
A085,0.3393542224999999,0.4921892264019502,55.0,-0.6308605411227542,58.0
A086,-0.4303362599999999,-0.6448527817571941,68.0,0.6406413247060523,58.0
A087,0.5806797050000001,0.8486925449183965,64.0,0.2494099813741117,59.0
A088,1.55795242,2.2923899215229446,58.0,-0.3374370336237989,56.0
A089,0.865113,1.2688778171640127,58.0,-0.3374370336237989,56.0
A090,-0.752913545,-1.121387092967057,65.0,0.3472178172070969,61.0
A091,-0.373098455,-0.5602969892411791,60.0,-0.1418213619578287,63.0
A092,-0.7275689125,-1.0839461832909325,47.0,-1.4133232277866352,60.0
A093,0.48446266,0.7065538222066485,59.0,-0.2396291977908138,64.0
A094,-0.93752057,-1.3941018363591002,52.0,-0.9242840486217097,60.0
A095,-0.0134618175,-0.0290159434077947,60.0,-0.1418213619578287,61.0
A096,-1.325941315,-1.9679048311304057,59.0,-0.2396291977908138,60.0
A097,0.142418974,0.2012623466717463,36.0,-2.489209421949472,64.0
A098,0.3544507249999999,0.514490863110547,70.0,0.8362569963720224,60.0
A099,0.7514367825,1.1009471520915943,57.0,-0.435244869456784,63.0
A100,0.2622341625,0.3782619401934272,53.0,-0.8264762127887245,66.0
A101,-1.1029622375,-1.638504138485004,33.0,-2.782632929448427,69.0
A102,0.0113364885,0.0076178935621005,68.0,0.6406413247060523,68.0
A103,-0.4859907875,-0.7270696431456918,47.0,-1.4133232277866352,68.0
A104,0.0595906425,0.0789023922192352,53.0,-0.8264762127887245,66.0
A105,0.28618012,0.4136366268007721,61.0,-0.0440135261248435,68.0
A106,0.6701173435000001,0.9808162419072722,66.0,0.445025653040082,66.0
A107,-1.15600219,-1.7168585620805503,54.0,-0.7286683769557394,70.0
A108,-0.7731268499999999,-1.1512476374733136,42.0,-1.9023624069515608,69.0
A109,-0.720264555,-1.0731556622841816,58.0,-0.3374370336237989,68.0
