UID,confidence_theta,RAVLT_T,BVMT_T,RPM_T,age,sex,education
A010,-0.4989660099999999,42.16110493359753,63.40343091888381,55.86650796569172,22,1,6
A011,-0.58642776,64.72762103384706,61.42652370370921,61.0581079353304,21,1,2
A012,-0.519386065,43.34881630729488,55.4958020581854,61.0581079353304,21,0,4
A013,-0.7317411899999999,50.475084549478936,47.58817319748699,50.67490799605303,22,0,6
A014,-0.4468664275,65.91533240754441,63.40343091888381,45.48330802641435,22,1,6
A015,-0.205625645,46.9119504283869,55.4958020581854,61.0581079353304,23,0,6
A016,-0.81863615,55.22593004426831,61.42652370370921,61.0581079353304,21,0,6
A017,0.0890285827999999,38.5979708125055,57.47270927336,50.67490799605303,24,0,8
A018,-0.40357643,63.53990966014972,59.4496164885346,55.86650796569172,23,0,6
A019,-1.79179995,51.66279592317628,53.5188948430108,40.29170805677566,20,0,5
A020,-0.71634939,54.03821867057097,55.4958020581854,61.0581079353304,26,0,6
A021,-0.358308645,64.72762103384706,59.4496164885346,61.0581079353304,28,1,6
A022,-1.0748749025,50.475084549478936,47.58817319748699,45.48330802641435,28,0,8
A023,-0.4630446325,59.97677553905768,41.65745155196318,35.10010808713698,26,0,6
A024,-0.613885025,51.66279592317628,49.56508041266159,61.0581079353304,29,1,8
A025,-0.78392371,57.601352791663,59.4496164885346,45.48330802641435,26,0,6
A026,-0.44692492,42.16110493359753,55.4958020581854,50.67490799605303,29,0,8
A027,-0.6633107874999999,62.35219828645237,65.3803381340584,55.86650796569172,28,0,6
A028,-0.375387465,52.85050729687362,61.42652370370921,45.48330802641435,26,0,7
A029,-0.2711795875,63.53990966014972,63.40343091888381,50.67490799605303,25,0,6
A030,-0.5535010375,43.34881630729488,59.4496164885346,55.86650796569172,31,0,8
A031,-0.5188883875,49.28737317578159,53.5188948430108,55.86650796569172,32,0,6
A032,-0.570662565,55.22593004426831,55.4958020581854,55.86650796569172,33,0,6
A033,-0.464278515,52.85050729687362,45.61126598231238,61.0581079353304,32,1,6
A034,-0.19353102975,65.91533240754441,61.42652370370921,61.0581079353304,33,0,6
A035,-0.6640841725,52.85050729687362,61.42652370370921,61.0581079353304,34,1,7
A036,-1.32406655,48.09966180208425,49.56508041266159,61.0581079353304,30,1,6
A037,-0.4376020625,61.16448691275503,65.3803381340584,61.0581079353304,31,1,7
A038,-0.3345477249999999,70.66617790233377,47.58817319748699,55.86650796569172,32,0,4
A039,-0.100697299,57.601352791663,55.4958020581854,61.0581079353304,31,1,8
A040,-0.560711355,32.65941394401878,41.65745155196318,55.86650796569172,38,1,8
A041,-0.29055276625,35.03483669141347,57.47270927336,50.67490799605303,35,0,6
A042,-0.8896894625,54.03821867057097,45.61126598231238,40.29170805677566,38,0,6
A043,-0.0666248899999999,46.9119504283869,55.4958020581854,50.67490799605303,38,1,6
A044,-1.1971005625,59.97677553905768,55.4958020581854,50.67490799605303,38,1,6
A045,-0.81302315,33.84712531771612,51.54198762783619,40.29170805677566,37,0,8
A046,-1.173376725,44.536527680992215,57.47270927336,35.10010808713698,38,0,6
A047,-1.1130484475,33.84712531771612,37.70363712161397,19.52530817822093,36,0,6
A048,-0.484168175,50.475084549478936,57.47270927336,61.0581079353304,38,1,8
A049,-0.32294445475,40.97339355990019,51.54198762783619,61.0581079353304,35,1,5
A050,-0.627010625,38.5979708125055,57.47270927336,50.67490799605303,41,1,9
A051,-0.4079527525,42.16110493359753,37.70363712161397,55.86650796569172,41,1,1
A052,-0.71755411,57.601352791663,55.4958020581854,55.86650796569172,43,0,9
A053,-1.0141234075,52.85050729687362,53.5188948430108,50.67490799605303,44,0,6
A054,-0.139742269,54.03821867057097,63.40343091888381,50.67490799605303,43,0,7
A055,-0.8124447475,51.66279592317628,39.68054433678858,29.908508117498297,44,1,6
A056,-0.8030216625,51.66279592317628,53.5188948430108,45.48330802641435,42,0,6
A057,-0.5488906525,52.85050729687362,57.47270927336,55.86650796569172,40,0,6
A058,-0.6382162375,39.78568218620284,49.56508041266159,55.86650796569172,42,1,6
A059,-0.63340386,54.03821867057097,59.4496164885346,61.0581079353304,43,0,6
A060,-0.3904219575,51.66279592317628,55.4958020581854,40.29170805677566,48,0,4
A061,0.0324096775,67.10304378124175,45.61126598231238,29.908508117498297,47,0,5
A062,-0.6299947724999999,55.22593004426831,53.5188948430108,61.0581079353304,48,0,8
A063,-1.35235565,61.16448691275503,49.56508041266159,55.86650796569172,45,0,8
A064,-0.486685545,51.66279592317628,57.47270927336,61.0581079353304,47,1,6
A065,-0.7442530700000001,56.41364141796566,33.74982269126477,35.10010808713698,47,0,6
A066,-0.8195049325,45.72423905468956,33.74982269126477,50.67490799605303,47,0,8
A067,-0.7903544849999999,61.16448691275503,41.65745155196318,55.86650796569172,48,0,6
A068,-0.182538331,56.41364141796566,55.4958020581854,61.0581079353304,49,0,8
A069,-0.847522715,51.66279592317628,47.58817319748699,35.10010808713698,46,1,5
A070,-0.74066433,43.34881630729488,55.4958020581854,50.67490799605303,52,1,5
A071,-0.7865272925,59.97677553905768,53.5188948430108,61.0581079353304,50,0,7
A072,-0.3958316592499999,54.03821867057097,59.4496164885346,61.0581079353304,50,0,7
A073,-0.86171152,51.66279592317628,43.63435876713778,45.48330802641435,51,0,6
A074,-0.57788421,61.16448691275503,53.5188948430108,55.86650796569172,53,0,6
A075,-0.62249475,39.78568218620284,47.58817319748699,50.67490799605303,53,0,6
A076,-0.9554576,35.03483669141347,31.77291547609017,29.908508117498297,54,0,1
A077,-0.5104503575,20.782300207045346,57.47270927336,55.86650796569172,52,0,6
A078,-0.9966626875,51.66279592317628,35.726729906439374,40.29170805677566,50,0,7
A079,-0.5002159225,61.16448691275503,61.42652370370921,55.86650796569172,50,0,5
A080,-0.62087439,58.78906416536034,47.58817319748699,40.29170805677566,56,0,8
A081,-0.4516486899999999,44.536527680992215,53.5188948430108,29.908508117498297,55,1,5
A082,-0.55570178,65.91533240754441,57.47270927336,50.67490799605303,58,1,9
A083,-0.36665053275,57.601352791663,41.65745155196318,55.86650796569172,58,0,9
A084,-1.310810025,38.5979708125055,33.74982269126477,45.48330802641435,59,0,5
A085,-0.3445621774999999,44.536527680992215,45.61126598231238,50.67490799605303,58,0,2
A086,-0.44356013,58.78906416536034,49.56508041266159,61.0581079353304,58,0,5
A087,-0.29395377,52.85050729687362,57.47270927336,45.48330802641435,59,0,6
A088,-0.3491737325,45.72423905468956,41.65745155196318,45.48330802641435,56,0,4
A089,-0.470749415,48.09966180208425,49.56508041266159,61.0581079353304,56,0,3
A090,-1.152067375,52.85050729687362,39.68054433678858,35.10010808713698,61,1,4
A091,-0.5713774125,51.66279592317628,41.65745155196318,50.67490799605303,63,0,8
A092,-0.7307358500000001,37.41025943880816,47.58817319748699,29.908508117498297,60,1,6
A093,-0.890267905,49.28737317578159,51.54198762783619,55.86650796569172,64,1,6
A094,-0.94850675,44.536527680992215,37.70363712161397,35.10010808713698,60,0,5
A095,-0.6042295885,46.9119504283869,49.56508041266159,50.67490799605303,61,1,6
A096,-0.8385788000000001,44.536527680992215,43.63435876713778,40.29170805677566,60,0,8
A097,-1.0233028025,23.15772295444003,27.81910104574096,45.48330802641435,64,0,6
A098,-0.4229392625,58.78906416536034,43.63435876713778,55.86650796569172,60,0,7
A099,-0.1477213175,42.16110493359753,43.63435876713778,55.86650796569172,63,0,5
A100,-0.86168969,43.34881630729488,17.93456496986795,35.10010808713698,66,0,8
A101,-0.8820455625,23.15772295444003,45.61126598231238,50.67490799605303,69,1,2
A102,-0.650397205,57.601352791663,59.4496164885346,55.86650796569172,68,0,5
A103,-0.6776779,33.84712531771612,45.61126598231238,35.10010808713698,68,0,6
A104,-0.3434715259999999,43.34881630729488,47.58817319748699,45.48330802641435,66,0,6
A105,-0.3732198375,49.28737317578159,23.86528661539176,50.67490799605303,68,1,8
A106,-0.399144375,52.85050729687362,55.4958020581854,61.0581079353304,66,0,8
A107,-1.0947545875,44.536527680992215,27.81910104574096,40.29170805677566,70,0,5
A108,-1.0069664625,32.65941394401878,45.61126598231238,29.908508117498297,69,0,4
A109,-1.1955821125,49.28737317578159,21.888379400217158,40.29170805677566,68,0,8
