model,predictor,beta,se,t_stat,p_uncorrected,ci_lower,ci_upper,p_bonferroni,p_fdr
Demographics,intercept,0.030582554304560725,0.014216538748143912,2.1511955087206815,0.033970671783718535,0.0023629479252222398,0.05880216068389921,0.3736773896209039,0.21351481067264164
Demographics,age_c,0.00011143754685432312,0.0002484216189710318,0.4485823227298013,0.6547438784406694,-0.00038167546944831133,0.0006045505631569576,1.0,0.8002425180941515
Demographics,sex,-0.005377195043543451,0.007858827873599055,-0.6842235419874253,0.4954824543425722,-0.020976845079660245,0.010222454992573344,1.0,0.8002425180941515
Demographics,education,0.002098592493197101,0.002199179901521942,0.9542614006906713,0.3423480418613677,-0.002266745109558283,0.006463930095952485,1.0,0.8002425180941515
Full_Model,intercept,0.03053734618159535,0.014571074459965734,2.095751158605167,0.038820874667753025,0.0016020800820273073,0.05947261228116339,0.4270296213452833,0.21351481067264164
Full_Model,age_c,1.886791109364574e-05,0.0001498112607283793,0.1259445451691037,0.9000476959832917,-0.0002786275622702051,0.00031636338445749655,1.0,0.9000476959832917
Full_Model,sex,-0.0019845901200711445,0.004019581873013672,-0.49373048808760867,0.622660570431109,-0.009966683096413277,0.005997502856270989,1.0,0.8002425180941515
Full_Model,education,0.0010183785156104574,0.0011274246020420934,0.9032785995319582,0.3687117942111433,-0.0012204633046628494,0.0032572203358837643,1.0,0.8002425180941515
Full_Model,ravlt_c,1.8867911093832764e-05,0.0001498112607283778,0.1259445451703534,0.9000476959823052,-0.00027862756227001504,0.00031636338445768054,1.0,0.9000476959832917
Full_Model,bvmt_c,-0.001984590120071166,0.0040195818730136825,-0.4937304880876128,0.6226605704311061,-0.00996668309641332,0.005997502856270988,1.0,0.8002425180941515
Full_Model,rpm_c,0.0010183785156104184,0.0011274246020421107,0.9032785995319097,0.36871179421116906,-0.0012204633046629231,0.00325722033588376,1.0,0.8002425180941515
