test_type,effect_size,alpha,power,interpretation
overall_model_uncorrected,0.0307304981216479,0.05,0.19093281050576238,inadequate
overall_model_corrected,0.0307304981216479,0.000448,0.0065613963524887575,inadequate
incremental_cognitive_uncorrected,0.0140891544652501,0.05,0.08833066133575551,inadequate
incremental_cognitive_corrected,0.0140891544652501,0.000448,0.001487997002689867,inadequate
ravlt_c_uncorrected,0.0085258848106733,0.05,0.14988982459548605,inadequate
ravlt_c_corrected,0.0085258848106733,0.000448,0.004464045878872502,inadequate
bvmt_c_uncorrected,0.0043783147058897,0.05,0.1004496486044667,inadequate
bvmt_c_corrected,0.0043783147058897,0.000448,0.0020769152377775324,inadequate
rpm_c_uncorrected,0.0014201424074501,0.05,0.06610006633455678,inadequate
rpm_c_corrected,0.0014201424074501,0.000448,0.0008842109150529742,inadequate
